

basicmath_small 0
DataStalls,368554390.0
ControlStalls,378155868.0
JumpStalls,78024774.0
Branches,126051956.0
CorrectBranches,0.0
IncorrectBranches,0.0


basicmath_small 8
Data L1 Read,519
Data L1 Total Read,1.33492e+08
Data L1 Write,482
Data L1 Total Write,1.08126e+08
Data L2 Read,341
Data L2 Total Read,519
Data L2 Write,0
Data L2 Total Write,0
Instruction L1,1.83288e+06
Instruction L1 Total,1.08976e+09
Instruction L2,1.3878e+06
Instruction L2 Total,1.83288e+06
Cycles,1914499772.0
Instructions,1089764736.0
InstructionsR,495040199.0
InstructionsI,555712150.0
InstructionsJ,39012387.0
CPI,1.7568
DataHazards,257492880.0
ControlHazards,126051956.0
Stalls,824735032.0
DataStalls,368554390.0
ControlStalls,378155868.0
JumpStalls,78024774.0
Branches,126051956.0
CorrectBranches,0.0
IncorrectBranches,0.0


basicmath_small 9
Data L1 Read,519
Data L1 Total Read,1.33492e+08
Data L1 Write,482
Data L1 Total Write,1.08126e+08
Data L2 Read,238
Data L2 Total Read,519
Data L2 Write,0
Data L2 Total Write,0
Instruction L1,7.54653e+06
Instruction L1 Total,1.08976e+09
Instruction L2,4.73104e+06
Instruction L2 Total,7.54653e+06
Cycles,1914499772.0
Instructions,1089764736.0
InstructionsR,495040199.0
InstructionsI,555712150.0
InstructionsJ,39012387.0
CPI,1.7568
DataHazards,257492880.0
ControlHazards,126051956.0
Stalls,824735032.0
DataStalls,368554390.0
ControlStalls,378155868.0
JumpStalls,78024774.0
Branches,126051956.0
CorrectBranches,0.0
IncorrectBranches,0.0


basicmath_small 10
Data L1 Read,519
Data L1 Total Read,1.33492e+08
Data L1 Write,482
Data L1 Total Write,1.08126e+08
Data L2 Read,238
Data L2 Total Read,519
Data L2 Write,0
Data L2 Total Write,0
Instruction L1,1.83288e+06
Instruction L1 Total,1.08976e+09
Instruction L2,1.00008e+06
Instruction L2 Total,1.83288e+06
Cycles,1710518216.0
Instructions,1089764736.0
InstructionsR,495040199.0
InstructionsI,555712150.0
InstructionsJ,39012387.0
CPI,1.56962
DataHazards,257492880.0
ControlHazards,58058104.0
Stalls,620753476.0
DataStalls,368554390.0
ControlStalls,174174312.0
JumpStalls,78024774.0
Branches,126051956.0
CorrectBranches,67993852.0
IncorrectBranches,58058104.0


basicmath_small 11
Data L1 Read,519
Data L1 Total Read,1.33492e+08
Data L1 Write,482
Data L1 Total Write,1.08126e+08
Data L2 Read,238
Data L2 Total Read,519
Data L2 Write,0
Data L2 Total Write,0
Instruction L1,1.83288e+06
Instruction L1 Total,1.08976e+09
Instruction L2,1.00008e+06
Instruction L2 Total,1.83288e+06
Cycles,1680204485.0
Instructions,1089764736.0
InstructionsR,495040199.0
InstructionsI,555712150.0
InstructionsJ,39012387.0
CPI,1.5418
DataHazards,257492880.0
ControlHazards,44034715.0
Stalls,590439745.0
DataStalls,368554390.0
ControlStalls,143860581.0
JumpStalls,78024774.0
Branches,126051956.0
CorrectBranches,82017241.0
IncorrectBranches,44034715.0


basicmath_small 12
Data L1 Read,519
Data L1 Total Read,1.33492e+08
Data L1 Write,482
Data L1 Total Write,1.08126e+08
Data L2 Read,238
Data L2 Total Read,519
Data L2 Write,0
Data L2 Total Write,0
Instruction L1,1.83288e+06
Instruction L1 Total,1.08976e+09
Instruction L2,1.00008e+06
Instruction L2 Total,1.83288e+06
Cycles,1557550790.0
Instructions,1089764736.0
InstructionsR,495040199.0
InstructionsI,555712150.0
InstructionsJ,39012387.0
CPI,1.42925
DataHazards,459969373.0
ControlHazards,58058104.0
Stalls,1012668418.0
DataStalls,760469332.0
ControlStalls,174174312.0
JumpStalls,78024774.0
Branches,126051956.0
CorrectBranches,67993852.0
IncorrectBranches,58058104.0


basicmath_small 13
Data L1 Read,519
Data L1 Total Read,1.33492e+08
Data L1 Write,482
Data L1 Total Write,1.08126e+08
Data L2 Read,238
Data L2 Total Read,519
Data L2 Write,0
Data L2 Total Write,0
Instruction L1,1.83288e+06
Instruction L1 Total,1.08976e+09
Instruction L2,1.00008e+06
Instruction L2 Total,1.83288e+06
Cycles,1527237059.0
Instructions,1089764736.0
InstructionsR,495040199.0
InstructionsI,555712150.0
InstructionsJ,39012387.0
CPI,1.40144
DataHazards,459969373.0
ControlHazards,44034715.0
Stalls,982354687.0
DataStalls,760469332.0
ControlStalls,143860581.0
JumpStalls,78024774.0
Branches,126051956.0
CorrectBranches,82017241.0
IncorrectBranches,44034715.0


fft_inv_small 0
Data L1 Read,34321
Data L1 Total Read,1.74796e+08
Data L1 Write,41406
Data L1 Total Write,1.557e+08
Data L2 Read,4278
Data L2 Total Read,34321
Data L2 Write,3570
Data L2 Total Write,12000
Instruction L1,13405
Instruction L1 Total,1.35881e+09
Instruction L2,4183
Instruction L2 Total,13405
Cycles,-1853775379.0
Instructions,1358813317.0
InstructionsR,537154054.0
InstructionsI,760053753.0
InstructionsJ,61605510.0
CPI,-1.36426
DataHazards,348327097.0
ControlHazards,151639479.0
Stalls,1082378596.0
DataStalls,504249139.0
ControlStalls,454918437.0
JumpStalls,123211020.0
Branches,151639479.0
CorrectBranches,0.0
IncorrectBranches,0.0


fft_inv_small 1
Data L1 Read,34321
Data L1 Total Read,1.74796e+08
Data L1 Write,41406
Data L1 Total Write,1.557e+08
Data L2 Read,4278
Data L2 Total Read,34321
Data L2 Write,3570
Data L2 Total Write,12000
Instruction L1,13405
Instruction L1 Total,1.35881e+09
Instruction L2,4183
Instruction L2 Total,13405
Cycles,-2054309915.0
Instructions,1358813317.0
InstructionsR,537154054.0
InstructionsI,760053753.0
InstructionsJ,61605510.0
