12,96.74448675,28.55542388
16,96.96469989,30.30331586
21,56.4047343,57.10219605
22,95.8358646,30.76681153
43,16.73209204,461.97
07,96.34617276,30.56705471
31,48.5573742,69.215
04,44.12713206,82.04735755
18,70.10625545,41.96995752
20,141.9120639,20.30408544
02,50.06670695,139.29
41,93.74607994,29.573
47,49.35007826589616,72.123408336
44,53.43736272,62.08828989
30,48.4092866,71.714941599
14,37.72725721,76.62338995
28,90.17945704,33.10995048
46,135.9992691,21.76091744
45,82.76804442,37.18636458
24,101.7490615,30.10941638
55,35.94401494,117.002
